timestamp,file_path,present,source
2010-05-13 00:00:00,,0.0,train
2010-05-13 01:00:00,data/2010/05/20100513_0100.h5,1.0,train
2010-05-13 02:00:00,data/2010/05/20100513_0200.h5,1.0,train
2010-05-13 03:00:00,data/2010/05/20100513_0300.h5,1.0,train
2010-05-13 04:00:00,data/2010/05/20100513_0400.h5,1.0,train
2010-05-13 05:00:00,data/2010/05/20100513_0500.h5,1.0,train
2010-05-13 06:00:00,data/2010/05/20100513_0600.h5,1.0,train
2010-05-13 07:00:00,data/2010/05/20100513_0700.h5,1.0,train
2010-05-13 08:00:00,data/2010/05/20100513_0800.h5,1.0,train
2010-05-13 09:00:00,data/2010/05/20100513_0900.h5,1.0,train
2010-05-13 10:00:00,data/2010/05/20100513_1000.h5,1.0,train
2010-05-13 11:00:00,data/2010/05/20100513_1100.h5,1.0,train
2010-05-13 12:00:00,data/2010/05/20100513_1200.h5,1.0,train
2010-05-13 13:00:00,data/2010/05/20100513_1300.h5,1.0,train
2010-05-13 14:00:00,data/2010/05/20100513_1400.h5,1.0,train
2010-05-13 15:00:00,data/2010/05/20100513_1500.h5,1.0,train
2010-05-13 16:00:00,data/2010/05/20100513_1600.h5,1.0,train
2010-05-13 17:00:00,data/2010/05/20100513_1700.h5,1.0,train
2010-05-13 18:00:00,data/2010/05/20100513_1800.h5,1.0,train
2010-05-13 19:00:00,data/2010/05/20100513_1900.h5,1.0,train
2010-05-13 20:00:00,data/2010/05/20100513_2000.h5,1.0,train
2010-05-13 21:00:00,data/2010/05/20100513_2100.h5,1.0,train
2010-05-13 22:00:00,data/2010/05/20100513_2200.h5,1.0,train
2010-05-13 23:00:00,data/2010/05/20100513_2300.h5,1.0,train
2010-05-14 00:00:00,data/2010/05/20100514_0000.h5,1.0,train
2010-05-14 01:00:00,data/2010/05/20100514_0100.h5,1.0,train
2010-05-14 02:00:00,data/2010/05/20100514_0200.h5,1.0,train
2010-05-14 03:00:00,data/2010/05/20100514_0300.h5,1.0,train
2010-05-14 04:00:00,data/2010/05/20100514_0400.h5,1.0,train
2010-05-14 05:00:00,data/2010/05/20100514_0500.h5,1.0,train
2010-05-14 06:00:00,data/2010/05/20100514_0600.h5,1.0,train
2010-05-14 07:00:00,data/2010/05/20100514_0700.h5,1.0,train
2010-05-14 08:00:00,data/2010/05/20100514_0800.h5,1.0,train
2010-05-14 09:00:00,data/2010/05/20100514_0900.h5,1.0,train
2010-05-14 10:00:00,data/2010/05/20100514_1000.h5,1.0,train
2010-05-14 11:00:00,data/2010/05/20100514_1100.h5,1.0,train
2010-05-14 12:00:00,data/2010/05/20100514_1200.h5,1.0,train
2010-05-14 13:00:00,data/2010/05/20100514_1300.h5,1.0,train
2010-05-14 14:00:00,data/2010/05/20100514_1400.h5,1.0,train
2010-05-14 15:00:00,data/2010/05/20100514_1500.h5,1.0,train
2010-05-14 16:00:00,data/2010/05/20100514_1600.h5,1.0,train
2010-05-14 17:00:00,data/2010/05/20100514_1700.h5,1.0,train
2010-05-14 18:00:00,data/2010/05/20100514_1800.h5,1.0,train
2010-05-14 19:00:00,data/2010/05/20100514_1900.h5,1.0,train
2010-05-14 20:00:00,data/2010/05/20100514_2000.h5,1.0,train
2010-05-14 21:00:00,data/2010/05/20100514_2100.h5,1.0,train
2010-05-14 22:00:00,data/2010/05/20100514_2200.h5,1.0,train
2010-05-14 23:00:00,data/2010/05/20100514_2300.h5,1.0,train
2010-05-15 00:00:00,data/2010/05/20100515_0000.h5,1.0,train
2010-05-15 01:00:00,data/2010/05/20100515_0100.h5,1.0,train
2010-05-15 02:00:00,data/2010/05/20100515_0200.h5,1.0,train
2010-05-15 03:00:00,data/2010/05/20100515_0300.h5,1.0,train
2010-05-15 04:00:00,data/2010/05/20100515_0400.h5,1.0,train
2010-05-15 05:00:00,data/2010/05/20100515_0500.h5,1.0,train
2010-05-15 06:00:00,data/2010/05/20100515_0600.h5,1.0,train
2010-05-15 07:00:00,data/2010/05/20100515_0700.h5,1.0,train
2010-05-15 08:00:00,data/2010/05/20100515_0800.h5,1.0,train
2010-05-15 09:00:00,data/2010/05/20100515_0900.h5,1.0,train
2010-05-15 10:00:00,data/2010/05/20100515_1000.h5,1.0,train
2010-05-15 11:00:00,data/2010/05/20100515_1100.h5,1.0,train
2010-05-15 12:00:00,data/2010/05/20100515_1200.h5,1.0,train
2010-05-15 13:00:00,data/2010/05/20100515_1300.h5,1.0,train
2010-05-15 14:00:00,data/2010/05/20100515_1400.h5,1.0,train
2010-05-15 15:00:00,data/2010/05/20100515_1500.h5,1.0,train
2010-05-15 16:00:00,data/2010/05/20100515_1600.h5,1.0,train
2010-05-15 17:00:00,data/2010/05/20100515_1700.h5,1.0,train
2010-05-15 18:00:00,data/2010/05/20100515_1800.h5,1.0,train
2010-05-15 19:00:00,data/2010/05/20100515_1900.h5,1.0,train
2010-05-15 20:00:00,data/2010/05/20100515_2000.h5,1.0,train
2010-05-15 21:00:00,data/2010/05/20100515_2100.h5,1.0,train
2010-05-15 22:00:00,data/2010/05/20100515_2200.h5,1.0,train
2010-05-15 23:00:00,data/2010/05/20100515_2300.h5,1.0,train
2010-05-16 00:00:00,data/2010/05/20100516_0000.h5,1.0,train
2010-05-16 01:00:00,data/2010/05/20100516_0100.h5,1.0,train
2010-05-16 02:00:00,data/2010/05/20100516_0200.h5,1.0,train
2010-05-16 03:00:00,data/2010/05/20100516_0300.h5,1.0,train
2010-05-16 04:00:00,data/2010/05/20100516_0400.h5,1.0,train
2010-05-16 05:00:00,data/2010/05/20100516_0500.h5,1.0,train
2010-05-16 06:00:00,data/2010/05/20100516_0600.h5,1.0,train
2010-05-16 07:00:00,data/2010/05/20100516_0700.h5,1.0,train
2010-05-16 08:00:00,data/2010/05/20100516_0800.h5,1.0,train
2010-05-16 09:00:00,data/2010/05/20100516_0900.h5,1.0,train
2010-05-16 10:00:00,data/2010/05/20100516_1000.h5,1.0,train
2010-05-16 11:00:00,data/2010/05/20100516_1100.h5,1.0,train
